,score,name,rank,country,district
850,38,Dublin City University,83,Ireland,Dublin
851,38,Tuscia University,83,Italy,Viterbo
852,38,University of Neuchatel,83,Switzerland,Neuchâtel
853,37.9,Charles Darwin University,84,Australia,"Casuarina, NT"
854,37.9,Creighton University,84,United States,"Omaha, NE"
855,37.9,Northwest A&F University - China,84,China,"Yangling, Shaanxi"
856,37.9,Universidade Federal do Ceara,84,Brazil,"Fortaleza, Ceara"
857,37.9,University of Stirling,84,United Kingdom,Stirling
858,37.9,University of Tabriz,84,Iran,"Tabriz, East Azerbaijan"
859,37.8,California Polytechnic State University--San Luis Obispo,84,United States,"San Luis Obispo, CA"
860,37.8,Harbin Engineering University,84,China,"Harbin, Heilongjiang"
861,37.8,Texas A&M Health Science Center,84,United States,"San Antonio, TX"
862,37.7,Banaras Hindu University,85,India,"Varanasi, Uttar Pradesh"
863,37.7,Sabanci University,85,Turkey,"Tuzla, Istanbul"
864,37.7,Shiraz University,85,Iran,Shiraz
865,37.7,Universidad Costa Rica,85,Costa Rica,"San Pedro Montes de Oca, San Jose"
866,37.7,University of Texas--Rio Grande Valley,85,United States,"Edinburg, TX"
867,37.6,Tecnologico de Monterrey,85,Mexico,Monterrey
868,37.6,Zhejiang University of Technology,85,China,"Hangzhou, Zhejiang"
869,37.5,Universidad de Antioquia,85,Colombia,Medellín
870,37.5,Universidad de Cordoba,85,Spain,Cordoba
871,37.5,Universidad de Malaga,85,Spain,Malaga
872,37.3,Bohai University,86,China,Jinzhou
873,37.3,University of Limerick,86,Ireland,Limerick
874,37.3,University of Sassari,86,Italy,Sassari
875,37.3,University of Ulster,86,United Kingdom,Coleraine
876,37.2,Gaziantep University,86,Turkey,Gaziantep
877,37.2,Keele University,86,United Kingdom,Staffordshire
878,37.2,Taipei Medical University,86,Taiwan,Taipei City
879,37.1,Mashhad University Medical Science,86,Iran,Mahshad
880,37.1,University of Louisiana--Lafayette,86,United States,"Lafayette, LA"
881,37.1,University of Nairobi,86,Kenya,Nairobi
882,37,Iran University Science & Technology,87,Iran,Tehran
883,37,University of Southern Queensland,87,Australia,"Toowoomba, Queensland"
884,36.9,Universitat Kassel,87,Germany,Kassel
885,36.9,University of Bucharest,87,Romania,Bucharest
886,36.9,University of London Royal Veterinary College,87,United Kingdom,London
887,36.8,Indian Institute of Technology (IIT) - Indore,87,India,Indore
888,36.8,Marmara University,87,Turkey,Istanbul
889,36.8,National University of Cordoba,87,Argentina,Córdoba
890,36.8,University of Veterinary Medicine Vienna,87,Austria,Vienna
891,36.7,European University Institute,87,Italy,Florence
892,36.7,Inha University,87,South Korea,Incheon
893,36.7,South China Agricultural University,87,China,"Guangzhou, Guangdong"
894,36.7,Tokyo University of Science,87,Japan,Tokyo
895,36.7,Universidad de Alcala,87,Spain,Madrid
896,36.7,Universite de Tunis-El-Manar,87,Tunisia,"Tunis, Tunisia"
897,36.6,Assiut University,88,Egypt,Assiut
898,36.6,Kangwon National University,88,South Korea,Chuncheon-si
899,36.6,Portland State University,88,United States,"Portland, OR"
900,36.6,Southwest University - China,88,China,Chongqing
901,36.5,Ferdowsi University Mashhad,88,Iran,"Mashhad, Razavi Khorasan"
902,36.5,International Islamic University Malaysia,88,Malaysia,Selangor
903,36.5,Tomsk Polytechnic University,88,Russia,Tomsk
904,36.5,Universidade Federal da Bahia,88,Brazil,"Cruz Das Almas, Bahia"
905,36.4,Chiang Mai University,89,Thailand,Chiang Mai
906,36.4,Chung Ang University,89,South Korea,Seoul
907,36.4,CUNY--Hunter College,89,United States,"New York, NY"
908,36.4,North China Electric Power University,89,China,"Beijing, Beijing"
909,36.4,Rhodes University,89,South Africa,Grahamstown
910,36.3,Graduate University for Advanced Studies - Japan,89,Japan,"Hayama, Kanagawa Prefecture"
911,36.3,Niigata University,89,Japan,Niigata
912,36.3,Southern Cross University,89,Australia,"East Lismore, NSW"
913,36.3,University of Kaiserslautern,89,Germany,Kaiserslautern
914,36.2,Universidade Federal Fluminense,90,Brazil,"Niterói, Rio de Janerio"
915,36.2,University of Paderborn,90,Germany,Paderborn
916,36,Gyeongsang National University,90,South Korea,"Jinju City, South Gyeongsang"
917,36,Hong Kong Institute of Education,90,Hong Kong,Tai Po
918,36,Nanchang University,90,China,"Nanchang, Jiangxi"
919,36,Ryerson University,90,Canada,"Toronto, Ontario"
920,36,Sultan Qaboos University,90,Oman,Muscat
921,36,University of Oklahoma Health Sciences Center,90,United States,"Oklahoma City, OK"
922,36,University of South Bohemia Ceske Budejovice,90,Czech Republic,České Budějovice
923,35.9,Fujian Agriculture,91,China,"Fuzhou, Fujian"
924,35.9,National University of Defence Technology - China,91,China,"Changsha, Hunan"
925,35.9,Uniformed Services University of the Health Sciences,91,United States,"Bethesda, MD"
926,35.8,Chang Gung University,91,Taiwan,Taoyuan City
927,35.8,Ege University,91,Turkey,İzmir
928,35.8,Jinan University,91,China,"Guangzhou, Guangdong"
929,35.8,Ritsumeikan University,91,Japan,Kyoto
930,35.8,Universidade Federal do Rio Grande do Norte,91,Brazil,Natal/RN
